,tweet_id,retweet_count,favorite_count,retweeted,display_text_range
1977,672980819271634944,1079,1930,False,"[0, 121]"
1978,672975131468300288,1015,1813,False,"[0, 94]"
1979,672970152493887488,391,1019,False,"[0, 107]"
1980,672968025906282496,602,1405,False,"[0, 130]"
1981,672964561327235073,701,1530,False,"[0, 138]"
1982,672902681409806336,550,1452,False,"[0, 83]"
1983,672898206762672129,459,944,False,"[0, 125]"
1984,672884426393653248,897,1661,False,"[0, 140]"
1985,672877615439593473,405,1096,False,"[0, 123]"
1986,672834301050937345,623,1398,False,"[0, 74]"
1987,672828477930868736,533,1343,False,"[0, 140]"
1988,672640509974827008,348,1032,False,"[0, 89]"
1989,672622327801233409,542,1377,False,"[0, 128]"
1990,672614745925664768,644,1302,False,"[0, 132]"
1991,672609152938721280,424,1180,False,"[0, 88]"
1992,672604026190569472,445,1188,False,"[0, 100]"
1993,672594978741354496,661,1411,False,"[0, 137]"
1994,672591762242805761,367,1014,False,"[0, 59]"
1995,672591271085670400,207,782,False,"[0, 104]"
1996,672538107540070400,404,1089,False,"[0, 96]"
1997,672523490734551040,189,696,False,"[0, 126]"
1998,672488522314567680,482,1187,False,"[0, 134]"
1999,672482722825261057,665,1221,False,"[0, 106]"
2000,672481316919734272,137,757,False,"[0, 101]"
2001,672475084225949696,770,1529,False,"[0, 138]"
2002,672466075045466113,598,1447,False,"[0, 127]"
2003,672272411274932228,3677,6888,False,"[0, 95]"
2004,672267570918129665,666,1588,False,"[0, 84]"
2005,672264251789176834,383,1212,False,"[0, 123]"
2006,672256522047614977,1699,2999,False,"[0, 139]"
2007,672254177670729728,800,1515,False,"[0, 89]"
2008,672248013293752320,656,1833,False,"[0, 95]"
2009,672245253877968896,169,733,False,"[0, 124]"
2010,672239279297454080,347,953,False,"[0, 74]"
2011,672231046314901505,1089,1956,False,"[0, 138]"
2012,672222792075620352,231,833,False,"[0, 127]"
2013,672205392827572224,1270,2414,False,"[0, 130]"
2014,672169685991993344,408,1074,False,"[0, 94]"
2015,672160042234327040,395,918,False,"[0, 138]"
2016,672139350159835138,792,1876,False,"[0, 94]"
2017,672125275208069120,1253,2578,False,"[0, 81]"
2018,672095186491711488,395,1063,False,"[0, 83]"
2019,672082170312290304,402,1003,False,"[0, 77]"
2020,672068090318987265,564,1389,False,"[0, 138]"
2021,671896809300709376,4519,9016,False,"[0, 104]"
2022,671891728106971137,618,1415,False,"[0, 138]"
2023,671882082306625538,1488,3693,False,"[0, 137]"
2024,671879137494245376,748,1507,False,"[0, 139]"
2025,671874878652489728,601,1330,False,"[0, 132]"
2026,671866342182637568,548,1191,False,"[0, 139]"
2027,671855973984772097,502,977,False,"[0, 117]"
2028,671789708968640512,3811,7527,False,"[0, 139]"
2029,671768281401958400,572,1269,False,"[0, 144]"
2030,671763349865160704,999,1788,False,"[0, 130]"
2031,671744970634719232,841,1430,False,"[0, 136]"
2032,671743150407421952,248,779,False,"[0, 136]"
2033,671735591348891648,819,1534,False,"[0, 70]"
2034,671729906628341761,4795,9119,False,"[0, 76]"
